Algorithm,DataType,Size,AvgTime(ms)
"Introsort","Partially Sorted (10%)",200000,10.523500
"Introsort","Partially Sorted (10%)",500000,29.480700
"Introsort","Partially Sorted (10%)",1000000,65.509400
"Introsort","Random",1000,0.025300
"Introsort","Random",5000,0.146900
"Introsort","Random",10000,0.309100
"Introsort","Random",20000,0.665100
"Introsort","Random",50000,1.785900
"Introsort","Random",100000,3.805200
"Introsort","Random",200000,8.236000
"Introsort","Random",500000,22.850700
"Introsort","Random",1000000,47.659600
"Introsort","Reversed (Desc)",1000,0.176300
"Introsort","Reversed (Desc)",5000,0.295500
"Introsort","Reversed (Desc)",10000,0.460600
"Introsort","Reversed (Desc)",20000,0.950000
"Introsort","Reversed (Desc)",50000,2.640200
"Introsort","Reversed (Desc)",100000,5.315500
"Introsort","Reversed (Desc)",200000,11.207000
"Introsort","Reversed (Desc)",500000,31.719800
"Introsort","Reversed (Desc)",1000000,59.696400
"Introsort","Sorted (Asc)",1000,0.115600
"Introsort","Sorted (Asc)",5000,0.211600
"Introsort","Sorted (Asc)",10000,0.518300
"Introsort","Sorted (Asc)",20000,1.211200
"Introsort","Sorted (Asc)",50000,2.366000
"Introsort","Sorted (Asc)",100000,5.316500
"Introsort","Sorted (Asc)",200000,10.469200
"Introsort","Sorted (Asc)",500000,27.248300
"Introsort","Sorted (Asc)",1000000,55.436600
"Library Sort","Partially Sorted (10%)",1000,1.160500
"Library Sort","Partially Sorted (10%)",5000,26.220100
"Library Sort","Partially Sorted (10%)",10000,104.062700
"Library Sort","Partially Sorted (10%)",20000,424.270100
"Library Sort","Partially Sorted (10%)",50000,2614.509400
"Library Sort","Partially Sorted (10%)",100000,10469.780600
"Library Sort","Random",1000,1.002700
"Library Sort","Random",5000,17.998800
"Library Sort","Random",10000,69.686100
"Library Sort","Random",20000,333.279400
"Library Sort","Random",50000,2058.265900
"Library Sort","Random",100000,8470.125300
"Library Sort","Reversed (Desc)",1000,0.416700
"Library Sort","Reversed (Desc)",5000,8.204000
"Library Sort","Reversed (Desc)",10000,36.338900
"Library Sort","Reversed (Desc)",20000,139.267500
"Library Sort","Reversed (Desc)",50000,838.326000
"Library Sort","Reversed (Desc)",100000,3362.596000
"Library Sort","Sorted (Asc)",1000,1.224700
"Library Sort","Sorted (Asc)",5000,27.266900
"Library Sort","Sorted (Asc)",10000,110.408600
"Library Sort","Sorted (Asc)",20000,429.796200
"Library Sort","Sorted (Asc)",50000,2696.598500
"Library Sort","Sorted (Asc)",100000,10838.604000
"Merge Sort","Partially Sorted (10%)",1000,0.112400
"Merge Sort","Partially Sorted (10%)",5000,0.561300
"Merge Sort","Partially Sorted (10%)",10000,0.970300
"Merge Sort","Partially Sorted (10%)",20000,2.047200
"Merge Sort","Partially Sorted (10%)",50000,7.480100
"Merge Sort","Partially Sorted (10%)",100000,9.847700
"Merge Sort","Partially Sorted (10%)",200000,18.424300
"Merge Sort","Partially Sorted (10%)",500000,50.995800
"Merge Sort","Partially Sorted (10%)",1000000,96.834500
"Merge Sort","Random",1000,0.107000
"Merge Sort","Random",5000,0.570900
"Merge Sort","Random",10000,1.167100
"Merge Sort","Random",20000,2.808800
"Merge Sort","Random",50000,6.540500
"Merge Sort","Random",100000,12.955700
"Merge Sort","Random",200000,26.086900
"Merge Sort","Random",500000,68.772600
"Merge Sort","Random",1000000,139.985800
"Merge Sort","Reversed (Desc)",1000,0.217300
"Merge Sort","Reversed (Desc)",5000,0.405300
"Merge Sort","Reversed (Desc)",10000,0.822500
"Merge Sort","Reversed (Desc)",20000,1.603900
"Merge Sort","Reversed (Desc)",50000,4.053600
"Merge Sort","Reversed (Desc)",100000,8.363300
"Merge Sort","Reversed (Desc)",200000,16.590000
"Merge Sort","Reversed (Desc)",500000,44.830900
"Merge Sort","Reversed (Desc)",1000000,96.314300
